Date,Year,Location,Aircraft Type / Registration,Fatalities,Operator,Latitude,Longitude
6/7/2008,2008,"Yeco, Chile","Cessna 208 Grand Caravan
CC-CTR",10/10(0),Patagonia Airlines,-33.316667,-71.633333
6/10/2008,2008,"Khartoum, Sudan","Airbus A-310-324
ST-ATN",32/214(0),Sudan Airways,15.500654,32.559899
8/20/2008,2008,"Madrid, Spain","McDonnell Douglas MD-82
EC-HFP",154/172(0),Spanair,40.416775,-3.70379
8/24/2008,2008,"Bishkek, Kyrgyzstan","Boeing B-737-219
EX-009",68/90(0),Itek Air,42.874722,74.612222
9/1/2008,2008,"Near Bukavu, Congo","Beechcraft 1900C-1
ZS-OLD",17/17(0),Air Serv Internatiional/CemAir,-4.391724,15.311782
9/14/2008,2008,"Perm, Russia","Boeing B-737-505
VP-BKO",88/88(0),Aeroflot,58,56.316667
10/8/2008,2008,"Lukla, Nepal","de Havilland Canada DHC-6 Twin Otter 300
9N-AFE",18/19(0),Yeti Airlines,27.68566,86.727806
12/15/2008,2008,Off Turks and Caicos Islands,"Britten Norman BN-2A Trislander Mk3
N650LP",12/12(0),Alantis Aviation,21.694025,-71.797928
1/15/2009,2009,"New York, New York","Airbus A320-214
N106US",0/155(0),US Airways,40.670418,-74.022789
2/12/2009,2009,"Clarence Center, New York","Bombardier DHC-8-402 Q400
N200WQ",49/49(1),Continental Connection/Colgan Air,43.010614,-78.637528
2/25/2009,2009,"Amsterdam, Netherlands","Boeing 737-8F2
TC-JGE",9/134(0),Turkish Airlines,52.353102,4.732447
4/9/2009,2009,"Near Wamena, Indonesia","British Aerospace BAe-146-300
PK-BRD",6/6(0),Aviastar Mandiri,-4.099184,138.925321
4/29/2009,2009,"Masamba, Democratic Republic of Congo","Boeing B-737-200
TL-ADM",7/7(0),Bako Air,-5.08333,25.71667
6/1/2009,2009,"Atlantic Ocean, 570 miles northeast of Natal, Brazil","Airbus A330-203
F-GZCP",228/228(0),Air France,2.98,-30.59
6/29/2009,2009,"Near Wamena, Indonesia","de Havilland Canada DHC-6 Twin Otter 300
PK-BRO",3/3(0),Aviastar Mandiri,-4.099184,138.925321
6/30/2009,2009,"Off Mitsamiouli, Comoros","Airbus A310-324
7O-ADJ",152/153(0),Yemenia Airway,-11.38717,43.298071
7/15/2009,2009,"Near Qazvin, Iran","Tupolev 154M
EP-CPG",168/168(0),Caspian Airlines,36.266667,50
7/24/2009,2009,"Mashad, Iran","Ilyushin Il-62M
UP-16208",16/153(0),Aria Airlines,36.260462,59.616755
8/2/2009,2009,"Ampisibil Village, Indonesia","de Havilland Canada DHC-6 Twin Otter 300
PK-NVC",16/16(0),Merpati Nusantara Airlines,-0.789275,113.921327
8/4/2009,2009,"Koh Samui, Thailand","ATR-72-212A
HS-PGL",1/72(0),Bangkok Airlines,9.512017,100.013593
10/22/2009,2009,"Off Bonaire, Netherlands Antilles","Britten-Norman BN-2A-8 Island
PJ-SUN",1/10(0),Divi Divi Air,12.278786,-68.193512
11/12/2009,2009,"Kigali, Rwanda","Canadair CRJ-100ER
5Y-JLD",1/15(0),Rwandair,-1.943889,30.059444
1/25/2010,2010,"Off Na'ameh, Lebanon","Boeing 737-8AS
ET-ANB",90/90(0),Ethiopian Airlines,33.749571,35.417519
5/12/2010,2010,"Tripoli, Libya","Airbus A330-202
5A-ONG",103/104(0),Afriqiyah Airways,32.887209,13.191338
5/15/2010,2010,"Near Poeketi, Suriname","Antonv An-28
PZ-TSV",8/8(0),Blue Wings Airlines,4.135974,-54.63192
5/17/2010,2010,"Salang pass, Afghanistan","Antonv An-24B
YA-PIS",44/44(0),Pamir Airlines,35.312394,69.041948
5/22/2010,2010,"Mangalore, India","Boeing 737-8HG
VT-AXV",159/166(0),Air India Express,12.914142,74.855957
7/28/2010,2010,"Islamabad, Pakistan","Airbus A321-231
AP-BJB",152/152(0),Airblue,33.729388,73.093146
8/16/2010,2010,"San Andreas Island, Colombia","Boeing B-737-73V
HK-4882",2/131(0),AIRES Colombia,12.583936,-81.711452
8/24/2010,2010,"Yichun, China","Embraer ERJ-190-100LR
B-3130",44/96(0),Henan Airlines,27.815619,114.416778
8/24/2010,2010,"Bastipur, Nepal","Dornier 228-101
9NAHE",14/14(0),Agni Air,27.35,85.8125
8/25/2010,2010,"Bandundu, Congo Democratic Republic","Let 410UVP-E
9Q-CCN",19/20(0),Filair,-3.316667,17.366667
9/13/2010,2010,"Puerto Ordaz, Venezuela","ATR 42-320
YV-1010",17/51(0),Conviasa Airline,8.275092,-62.767663
11/4/2010,2010,"Near Guasimal, Cuba","ATR-72-212
CU-T1549",68/68(0),Aerocaribbean,21.743003,-79.461951
11/5/2010,2010,"Near Karachi, Pakistan","Beechcraft 1900C-1
AP-BJD",21/21(0),JS Air,24.861462,67.009939
12/4/2010,2010,"Moscow, Russia","Tupolev Tu-154M
RA-85744",2/169(0),Dagestan Airlines,55.755826,37.6173
12/15/2010,2010,"Plunge Hill, Nepal","de Havilland Canada DHC-6 Twin Otter
9N-AFX",22/22(0),Tara Air,28,84
1/1/2011,2011,"Surgut, Russia","Tupolev Tu-154B-2
RA-85588",3/124(0),Kogalmavia,61.25595,73.384547
1/9/2011,2011,"Orumiyeh, Iran","Boeing B-727-286
EP-IRP",77/105(0),Iran Air,37.555278,45.0725
5/7/2011,2011,"Off Kaimana, Indonesia","Xian MA-60
PK-MZK",27/27(0),Merpati Nusantara Airlines,-3.93687,133.747559
5/18/2011,2011,"Near Prahuaniyeu, Argentina","Saab 340A
LV-CEJ",22/22(0),SOL Lineas Aereas,-41.291383,-67.941513
6/20/2011,2011,"Petrozavodsk, Russia","Tupolev Tu-134
RA-65691",47/52(0),RusAir Airlines,61.783333,34.333333
7/8/2011,2011,"Kisangani, Congo","Boeing B-727-100
9Q-COP",77/115(0),Hewa Bora Airways,-4.373652,15.31721
7/11/2011,2011,"Near Strezhevoy, Russia","Antonov An-24RV
RA-47302",7/37(0),Angara Airlines,60.720018,77.520218
7/13/2011,2011,"Recife, Brazil","Let L-401UVP-20
PR-NOB",16/16(0),NOAR Linhas Aéreas,-8.057838,-34.882897
8/20/2011,2011,"Resolute Bay, Nunavut, Canada","Boeing B-737-210C(A) Combi
C-GNWN",12/15(0),First Air,74.697299,-94.829729
9/7/2011,2011,"Yaroslavl, Russia","Yakovlev 42D
RA-42434",44/45(0),YAK Service,57.626074,39.884471
9/25/2011,2011,"Near Kathmandu, Nepal","Beechcraft 1900D
9N-AEK",19/19(0),Buddha Air,27.665513,85.352783
9/29/2011,2011,"Near Bohorok, Indonesia","CASA NC-212 Aviocar 200
PK-TLF",18/18(0),Nusantara Buana Air,3.515889,98.153351
10/13/2011,2011,"Near Madang, Papua New Guinea","de Havilland Canada DHC-8-102
P2-MCJ",28/32(0),Airline PNG,-5.216667,145.8
4/2/2012,2012,"Tyumen, Russia","ATR 72-201
VP-BYZ",33/43(0),UTAir,57.161298,65.525017
4/20/2012,2012,"Islamabad, Pakistan","Boeing 737-236
AP-BKC",127/127(0),Bhoja Airlines,33.729388,73.093146
5/9/2012,2012,"Near Cidahu, Indonesia","Sukhoi Superjet 100-95
RA-97004",45/45(0),Sukhoi,-6.769748,106.729361
5/14/2012,2012,"Jomsom, Nepal","Dornier 228-212
9N-AIG",15/21(0),Agni Air,28.783333,83.730556
6/3/2012,2012,"Lagos, Nigeria","McDonnell Douglas MD-83
5N-RAM",153/153(6),Dana Air,6.524379,3.379206
8/19/2012,2012,"Talodi, Sudan","Antonov An-26-100
ST-ARL",32/32(0),Alfa Airlines,10.636389,30.379722
9/28/2012,2012,"Kathmandu, Nepal","Dornier 228-202
9N-AHA",19/19(0),Sita Air,27.7,85.333333
12/25/2012,2012,"Heho, Myanmar","Fokker 100
XY-AGC",2/71(1),Air Bagan,20.723192,96.821702
1/29/2013,2013,"Near Kyzyltu, Kazakhstan","Canadair CRJ-200ER
UP-CJ006",21/21(0),SCAT Air,41.308857,68.847542
2/13/2013,2013,"Donetsk, Ukraine","Antonov AN-24RV
UR-WRA",5/45(0),South Airlines,48.015883,37.80285
4/13/2013,2013,"Denpasar, Indonesia","Boeing B-737-8GP
PK-LKS",0/108(0),Lion Air,-8.65,115.216667
7/6/2013,2013,"San Francisco, California","Boeing B-777-28EER
HL7742",3/307(0),Asiana Airlines,37.61226,-122.357483
10/10/2013,2013,"Kudat, Malaysia","de Havilland Canada DHC-6 Twin Otter 310
9M-MDM",2/16(0),MASwings,6.88684,116.825311
10/16/2013,2013,"Near Pakse, Laos","ATR-72-50
RDPL-34233",49/49(0),Lao Airlines,15.116667,105.783333
11/17/2013,2013,"Near Kazan, Russia","Boeing 737-53A
VQ-BBN",50/50(0),Tararstan Airlilnes,55.79525,49.129486
11/25/2013,2013,"Kibeni, Papua New Guinea","Cessna 208B Grand Caravan
P2-SAH",3/10(0),Tropicair,-7.416667,143.8
11/29/2013,2013,"Bwabwata National Park, Nambia","Embraer ERJ-190AR
C9-EMC",33/33(0),Mozambique Airline,-18.076924,21.540868
2/16/2014,2014,"Sandhikhark, Nepal","de Havilland Canada DHC-6 Twin Otter 300
9N-ABB",18/18(0),Nepal Airlines,27.965006,83.143457
3/8/2014,2014,South Indian Ocean,"Boeing 777-200
9M-MRO",239/239(0),Malaysia Airlines,-33.137551,81.826172
7/17/2014,2014,"Hrabove, Ukraine","Boeing 777-2H6ER
9M-MRD",298/298(0),Malaysia Airlines,48.145833,38.648333
7/23/2014,2014,"Magong, Taiwan
","ATR 72-500
B-22810",48/58(0),TransAsia Airways,23.566122,119.586158
7/24/2014,2014,"Aguelhok, Mali
","Mc Donnell Douglas MD-83
EC-LTV",116/116(0),Air Algerie,19.465,0.856
8/10/2014,2014,"Tehran, Iran","HESA Iran-140-100
EP-GPA",39/48(0),Sepahan Airlines,35.696111,51.423056
12/28/2014,2014,Java Sea,"Airbus A-320-216
PK-AXC",162/162(0),AirAsia,-3.623,109.712
